Row Number,SKU,Item Name,Image Filename,Local Image Absolute Path,Status
133,T-SOLAR-4060,4 Stage 4060 Kit for Solar Panel Cleaning,T-SOLAR-4060.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-4060.png,copied
134,T-CART-UGK,4 Stage Cart Upgrade Kits,T-CART-UGK.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-CART-UGK.jpeg,copied
135,T-SOLAR-RIVAL,4 Stage Rival Kit for Solar Panel Cleaning,T-SOLAR-RIVAL.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-RIVAL.png,copied
136,20027,4 x 10in DI Cartridge Blue/White,20027.png,C:\Codex\AZCS Inventory\Images\Tucker images\20027.png,copied
137,TUCKER-4-X-20IN-DI-CARTRIDGE-FULL-BLUE,4 x 20in DI Cartridge Full Blue/White,20015.png,C:\Codex\AZCS Inventory\Images\Tucker images\20015.png,copied
138,ECO-40-BARE,40' ECO BARE POLE (no tips included),ECO-40-BARE.png,C:\Codex\AZCS Inventory\Images\Tucker images\ECO-40-BARE.png,copied
139,20054-40-SS,"40"" Stainless Steel Housing",20054-40-SS.png,C:\Codex\AZCS Inventory\Images\Tucker images\20054-40-SS.png,copied
140,20013-C,40in Carbon Insert,20013-C.png,C:\Codex\AZCS Inventory\Images\Tucker images\20013-C.png,copied
141,20013,40in Cartridge EMPTY,20013.png,C:\Codex\AZCS Inventory\Images\Tucker images\20013.png,copied
142,20013-D,40in DI Cartridge,20013-D.png,C:\Codex\AZCS Inventory\Images\Tucker images\20013-D.png,copied
143,21009,4in Brine Seal,21009.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\21009.jpeg,copied
144,20036,4in Filter Wrench,20036.png,C:\Codex\AZCS Inventory\Images\Tucker images\20036.png,copied
145,20009,4in x 10in Carbon Filter,20009.png,C:\Codex\AZCS Inventory\Images\Tucker images\20009.png,copied
146,20040,4in x 10in Grey Housing 3/4 FNPT,20040.png,C:\Codex\AZCS Inventory\Images\Tucker images\20040.png,copied
147,20008,4in x 10in Sediment Filter,20008.png,C:\Codex\AZCS Inventory\Images\Tucker images\20008.png,copied
148,20041,4in x 20in Housing Grey 3/4 FNPT,20041.png,C:\Codex\AZCS Inventory\Images\Tucker images\20041.png,copied
149,20014,4in x 20in Refillable Cartridge Empty Blue/White,20014.png,C:\Codex\AZCS Inventory\Images\Tucker images\20014.png,copied
150,20029,4in x10in Re-Fillable Empty Blue/White,20029.png,C:\Codex\AZCS Inventory\Images\Tucker images\20029.png,copied
151,20051-C,4x21 Carbon Cartridge,20051-C.png,C:\Codex\AZCS Inventory\Images\Tucker images\20051-C.png,copied
152,20051-D,4x21 DI Cartridge,20051-D.png,C:\Codex\AZCS Inventory\Images\Tucker images\20051-D.png,copied
153,T-3/8-5-RD,5 Foot RED bypass 3/8 Hose with Garden Hose Fittings,,,missing
154,40018-5PK,"5 pack of walnut pads 6 x 9""",40018-5PK.png,C:\Codex\AZCS Inventory\Images\Tucker images\40018-5PK.png,copied
155,60007-5,5 Way 5/16 Push to Fit Divider (brush),60007-5.png,C:\Codex\AZCS Inventory\Images\Tucker images\60007-5.png,copied
156,60007,5/16 Push to Fit Divider (brush),60007.png,C:\Codex\AZCS Inventory\Images\Tucker images\60007.png,copied
157,60006,5/16 Push to Fit Wye(brush),60006.png,C:\Codex\AZCS Inventory\Images\Tucker images\60006.png,copied
158,63014,5/16 union,63014.png,C:\Codex\AZCS Inventory\Images\Tucker images\63014.png,copied
159,"5/16""-OD-TUCKER®-POLE-HOSE","5/16"" OD Tucker® Pole Hose",,,missing
160,TANK,50 gallon Tank,TANK.png,C:\Codex\AZCS Inventory\Images\Tucker images\TANK.png,copied
161,T-50HM-BARE,50' HM BARE POLE (no tips included),T-50HM-BARE.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50HM-BARE.png,copied
162,T-55-KIT,55' pole kit,T-55-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-55-KIT.png,copied
163,T-SOLAR-MO,5-Stage Max Output Kit For Solar Panel Cleaning,T-SOLAR-MO.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-SOLAR-MO.png,copied
164,TUCKER-6-X-9-WALNUT-PAD,"6 x 9"" walnut pad",40018.png,C:\Codex\AZCS Inventory\Images\Tucker images\40018.png,copied
165,SORBO-S1261,"6"" Quicksilver Channel 90 degree w/ end clips",SORBO-S1261.png,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-S1261.png,copied
166,T-60-KIT,60' pole kit,T-60-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-60-KIT.png,copied
167,T-65-KIT,65' pole kit,T-65-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-65-KIT.png,copied
168,T-70-KIT,70' pole kit,T-70-KIT.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-70-KIT.png,copied
169,T-GN-V1,Adjustable Tucker Gooseneck,T-GN-V1.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-GN-V1.png,copied
170,T-GN-V2,Adjustable Tucker Gooseneck w/ Quick Release for #1 Clamp,T-GN-V2.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-GN-V2.png,copied
171,ALPHA-SCRUBBER-PADS-│-10-PACK-REPLACEMENTS,Alpha Scrubber Pads │ 10 Pack Replacements,ALPHA-SCRUBBER-PADS-│-10-PACK-REPLACEMENTS.png,C:\Codex\AZCS Inventory\Images\Tucker images\ALPHA-SCRUBBER-PADS-│-10-PACK-REPLACEMENTS.png,copied
172,T-ACME-TIP-ALUMINUM,Aluminum Acme Tip for #1 Clamp,T-ACME-TIP-ALUMINUM.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-ACME-TIP-ALUMINUM.jpeg,copied
173,T-50-AUX,Auxiliary 50 Gallon Tucker Tank,T-50-AUX.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-50-AUX.png,copied
174,T-CLAMPBARREL,Barrel only for aluminum clamp body,T-CLAMPBARREL.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-CLAMPBARREL.png,copied
175,12013,Battery Hold-Down,12013.png,C:\Codex\AZCS Inventory\Images\Tucker images\12013.png,copied
176,T-TW-BNDL,BOAB / Pouch Bundle,T-TW-BNDL.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-TW-BNDL.png,copied
177,12032BOOST,Boost Pump w/ ELBOWS,12032BOOST.png,C:\Codex\AZCS Inventory\Images\Tucker images\12032BOOST.png,copied
178,RHG-P0106,Bracket - SED/CAR,RHG-P0106.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\RHG-P0106.jpeg,copied
179,T-VALVE-BRACKET,Bracket for Bypass Valve,T-VALVE-BRACKET.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-VALVE-BRACKET.jpeg,copied
180,BRACKET-WIDECLAMP,Bracket for Saddle Clamp,BRACKET-WIDECLAMP.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\BRACKET-WIDECLAMP.jpeg,copied
181,T-GHS-BRASS,Brass Garden Hose Splitter,T-GHS-BRASS.png,C:\Codex\AZCS Inventory\Images\Tucker images\T-GHS-BRASS.png,copied
182,T-9/10BR-CF,Butt Ring for Tucker CF Pole-Fits Sec 9 and 10,,,missing
183,T-1000-003,CARBON Filter Bracket,T-1000-003.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\T-1000-003.jpeg,copied
184,90100-CF-EXT,CF Pole Extension,90100-CF-EXT.png,C:\Codex\AZCS Inventory\Images\Tucker images\90100-CF-EXT.png,copied
185,63042,"Check Valve 1/2""",63042.png,C:\Codex\AZCS Inventory\Images\Tucker images\63042.png,copied
186,20062-SS-C,"Clamp/Hardware for 4"" SS housing",20062-SS-C.png,C:\Codex\AZCS Inventory\Images\Tucker images\20062-SS-C.png,copied
187,12021-C,Cobra Clamps,12021-C.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\12021-C.jpeg,copied
188,SORBO-SQ10-FXD,"Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 10""",SORBO-SQ10-FXD.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-SQ10-FXD.jpeg,copied
189,SORBO-SQ14-FXD,"Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 14""",SORBO-SQ14-FXD.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-SQ14-FXD.jpeg,copied
190,SORBO-SQ18-FXD,"Complete Squeegee w/ Fixed Handle & Quicksilver Channel - 18""",SORBO-SQ18-FXD.jpeg,C:\Codex\AZCS Inventory\Images\Tucker images\SORBO-SQ18-FXD.jpeg,copied
