Matched Master SKU,Matched Item Name,Default Vendor Name,Reporting Category,Catalog Price,Default Unit Cost,Sales Lines,Distinct Sales Items,Quantity Sold,Gross Sales,Discounts,Net Sales,Average Realized Unit Price,First Sale Date,Last Sale Date,Sales Categories Observed,Match Types
5166,PREMIUM 5000PSI FILTER 1/4FPT IN X 1/4MPT OUT,Barrens,Barrens,,7.09,1,1,1,15.00,0.00,15.00,15.00,2026-01-20,2026-01-20,Parts,exact_sku
20036,4 Inch Filter Wrench,Tucker,Tucker,13.67,9.57,1,1,1,13.50,0.00,13.50,13.50,2025-04-01,2025-04-01,Tucker,exact_sku
6538,(200) Heavy Weight Brass Chemical Strainer with Check Valve,Barrens,Barrens,,5.46,1,1,1,10.00,0.00,10.00,10.00,2025-08-15,2025-08-15,None,exact_sku
3792,1/4 MEG 65° 6.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,1,10.00,0.00,10.00,10.00,2026-03-17,2026-03-17,Parts,exact_sku
4617,GP 1/4 MPT BRASS 65° 40.0 SOAPER NOZZLE,Barrens,Barrens,,2.39,2,1,2,9.50,0.00,9.50,4.75,2025-05-13,2025-10-31,Parts,exact_sku
3352,"STEEL ALLEN HEAD PLUG 1/4 MPT, 5000 PSI",Barrens,Barrens,,0.43,2,1,4,9.50,0.00,9.50,2.38,2025-03-29,2025-10-27,Parts,exact_sku
5011,GP QC 15° 8.0 YELLOW NOZZLE,Barrens,Barrens,,3.71,1,1,1,8.75,0.00,8.75,8.75,2025-12-17,2025-12-17,Parts,exact_sku
3790,1/4 MEG 65° 5.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,1,7.50,0.00,7.50,7.50,2025-06-02,2025-06-02,Parts,exact_sku
3788,1/4 MEG 65° 4.0 WASHJET SPRAY NOZZLE,Barrens,Barrens,,5.39,1,1,1,7.50,0.00,7.50,7.50,2025-06-02,2025-06-02,Parts,exact_sku
3512,3/4 MALE GARDEN HOSE X 3/4 FPT,Barrens,Barrens,,3.47,1,1,1,6.50,0.00,6.50,6.50,2025-05-16,2025-05-16,Parts,exact_sku
2582,"(300)STEEL HEX COUPLER 3/8 FPT, 4000 PSI",Barrens,Barrens,,2.96,1,1,1,6.50,0.00,6.50,6.50,2026-02-16,2026-02-16,Parts,exact_sku
5221,"304SS NIPPLE 1/4"" X 1.5"" SCH. 40",Barrens,Barrens,,3.05,1,1,1,6.25,0.00,6.25,6.25,2025-05-16,2025-05-16,Parts,exact_sku
2579,"STEEL ADAPTER 3/8 FPT X 1/4 MPT, 4000PSI",Barrens,Barrens,,2.54,1,1,1,5.50,0.00,5.50,5.50,2025-07-01,2025-07-01,Parts,exact_sku
62006,3/8 PTF x 1/4 PTF Reducer,Tucker,Tucker,2.67,1.87,1,1,1,5.48,0.00,5.48,5.48,2025-05-16,2025-05-16,Tucker,exact_sku
982108,Teflon Tape,MPWSR,MPWSR,2.99,1.99,1,1,1,1.50,0.00,1.50,1.50,2025-05-15,2025-05-15,Tools,exact_name
