sku,name,retail_price,product_url
150-1240,Male Garden Hose Stainless Steel with 3/4in MNPT and 1/2in FNPT,3.45,https://jracenstein.com/male-garden-hose-stainless-steel-with-3-4in-mnpt-and-1-2in-fnpt/
320-79M,Maple Shade Brown Deck and Wood Stain DRP,65.95,https://jracenstein.com/maple-shade-brown-deck-abd-wood-stain-drp/
320-72M,Medford Cedar Deck & Wood Stain  DRP,65.1,https://jracenstein.com/medford-cedar-deck-wood-stain-drp/
22-2M,Mediterranean Natural Sea Sponge,15.05,https://jracenstein.com/mediterranean-natural-sea-sponge/
150-004,Mesh Screen Pre-Filter 10in SS 40 Micron,30.55,https://jracenstein.com/mesh-screen-pre-filter-10in-ss-40-micron/
150-361,Metering Manifold Translucent 5 Port Softwash (3ea) 1/2in and (2ea) 3/4in,56.15,https://jracenstein.com/metering-manifold-translucent-5-port-softwash-3ea-1-2in-and-2ea-3-4in/
150-360,Metering Manifold White Poly 5 Port Softwash  (3ea) 1/2in and (2ea) 3/4in,50.35,https://jracenstein.com/metering-manifold-white-poly-5-port-softwash-3ea-1-2in-and-2ea-3-4in/
98-7041,Micro Swivel Petzl,74.8,https://jracenstein.com/micro-swivel-petzl/
E84430,MicroSwipe Cloth 13x13 Kitchen and Bath 3pk,4.05,https://jracenstein.com/microswipe-cloth-13x13-kitchen-bath-3pk/
24-11,MicroSwipe Towel 16x20 Ettore,5.3,https://jracenstein.com/microswipe-towel-16x20-ettore/
63-119,MicroSwipeDuster Ettore,8.8,https://jracenstein.com/microswipeduster-ettore/
350-274,Microfiber Cleaning Pad 8in Unger,7.76,https://jracenstein.com/microfiber-cleaning-pad-8in-unger/
350-272,Microfiber Wash Pad 8in Unger,10.33,https://jracenstein.com/microfiber-wash-pad-8in-unger/
350-171,Microfiber replacement pad (2) Ettore,7.05,https://jracenstein.com/microfiber-replacement-pad-2-ettore/
63-2093,Microswipe Ceiling Fan Duster,9.0,https://jracenstein.com/microswipe-ceiling-fan-duster/
24-26,Microwipe 16x16 Ninja Pocket Towel,8.9,https://jracenstein.com/microwipe-16x16-ninja-pocket-towel/
97-41M,Miller Lanyard Shock Absorbing,180.4,https://jracenstein.com/miller-lanyard-shock-absorbing/
